title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,citeScoreTracker_2024,citeScoreCurrentMetric_2023
International Journal of Computer Science in Sport,International Association of Computer Science in Sport,journal,ENGI;COMP,Biomedical Engineering;Computer Science (all),0.59,0.302,9,174,1,0.0,13,174,7,0.0,8,172,5,0.0,2.1,2.2
International Journal of Computer Theory and Engineering,International Association of Computer Science and Information Technology,journal,COMP,Computer Science Applications;Computational Theory and Mathematics,0.235,0.134,23,48,5,8.7,22,286,10,0.0,11,133,11,0.0,3.8,3.1
International Journal of Computer Vision,Springer Netherlands,journal,COMP,Software;Artificial Intelligence;Computer Vision and Pattern Recognition,5.342,6.668,154,32286,10,0.0,176,34391,24,0.0,394,28296,254,0.0,23.8,29.8
International Journal of Computer-Assisted Language Learning and Teaching,IGI Global Publishing,journal,SOCI;COMP,Education;Computer Science Applications;Linguistics and Language;Computer Vision and Pattern Recognition,0.585,0.430,26,158,10,0.0,19,227,8,5.26,7,224,7,0.0,2.8,3.0
International Journal of Computer-Supported Collaborative Learning,Springer Publishing Company,journal,SOCI;COMP,Education;Human-Computer Interaction,2.781,1.528,23,1693,1,0.0,28,1690,6,0.0,23,1601,17,0.0,8.1,8.0
International Journal of Computerized Dentistry,Quintessenz Verlags-GmbH,journal,DENT;COMP,Computer Science Applications;Dentistry (miscellaneous),0.821,0.678,37,872,7,0.0,35,918,17,0.0,26,862,21,0.0,2.9,2.9
International Journal of Computers and Applications,Taylor and Francis Ltd.,journal,COMP,Software;Computer Science Applications;Computer Graphics and Computer-Aided Design;Hardware and Architecture,0.728,0.408,120,788,30,0.0,74,818,29,0.0,91,764,73,1.1,4.6,4.7
International Journal of Computers and their Applications,International Society for Computers and Their Applications (ISCA),journal,COMP,Computer Science (all),0.41,0.156,25,31,15,0.0,37,45,30,0.0,15,33,13,0.0,0.6,0.5
"International Journal of Computers, Communications and Control","CCC Publications, R & D Agora",journal,COMP,Computer Networks and Communications;Computer Science Applications;Computational Theory and Mathematics,0.598,0.487,60,1279,12,0.0,61,1137,16,0.0,50,978,41,0.0,4.5,5.1
International Journal of Computing,Research Institute of Intelligent Computer Systems,journal,COMP,Computer Science (miscellaneous);Software;Computer Networks and Communications;Hardware and Architecture;Information Systems,0.35,0.188,51,209,10,0.0,54,351,22,0.0,50,320,46,0.0,1.8,2.2
International Journal of Computing Science and Mathematics,Inderscience Enterprises Ltd,journal,MATH;COMP,Theoretical Computer Science;Applied Mathematics;Computational Theory and Mathematics;Computational Mathematics,0.291,0.149,59,347,28,0.0,64,350,29,0.0,43,335,36,0.0,1.3,1.3
International Journal of Computing and Digital Systems,University of Bahrain,journal,BUSI;COMP,Management of Technology and Innovation;Artificial Intelligence;Computer Graphics and Computer-Aided Design;Human-Computer Interaction;Computer Networks and Communications;Information Systems,0.384,0.215,207,574,69,2.9,204,766,89,0.98,225,939,164,4.0,1.9,1.7
International Journal of Control,Taylor and Francis Ltd.,journal,ENGI;COMP,Computer Science Applications;Control and Systems Engineering,0.996,0.862,252,10813,34,0.0,281,10559,82,0.0,346,8855,238,0.0,4.3,5.0
"International Journal of Control, Automation and Systems","Institute of Control, Robotics and Systems",journal,ENGI;COMP,Control and Systems Engineering;Computer Science Applications,0.891,0.636,352,6286,44,0.0,357,6697,89,0.0,271,6311,197,0.0,5.2,5.8
International Journal of Cooperative Information Systems,World Scientific Publishing Co. Pte Ltd,journal,COMP,Computer Science Applications;Information Systems,0.248,0.182,6,252,1,0.0,15,208,5,0.0,20,205,12,0.0,2.3,2.3
International Journal of Critical Computer-Based Systems,Inderscience,journal,COMP,Computer Science (all),0.065,0.107,4,65,1,0.0,4,61,4,0.0,6,38,6,0.0,0.4,0.4
International Journal of Critical Infrastructure Protection,Elsevier B.V.,journal,ENGI;DECI;MATH;COMP,"Modeling and Simulation;Computer Science Applications;Safety, Risk, Reliability and Quality;Information Systems and Management",1.541,0.968,42,1434,5,11.9,37,1579,8,8.11,44,1470,27,13.64,9.5,8.9
International Journal of Crowd Science,Emerald Group Publishing Ltd.,journal,BUSI;DECI;COMP,"Business, Management and Accounting (miscellaneous);Computer Science (miscellaneous);Decision Sciences (miscellaneous)",0.511,0.375,26,145,8,0.0,26,280,11,0.0,25,285,22,0.0,3.3,2.7
International Journal of Customer Relationship Marketing and Management,IGI Global Publishing,journal,BUSI;DECI;COMP,Information Systems and Management;Information Systems;Management Information Systems;Marketing;Business and International Management,0.292,0.230,12,52,0,0.0,8,104,4,0.0,4,105,3,0.0,2.2,1.9
International Journal of Cyber Warfare and Terrorism,IGI Global Publishing,journal,DECI;ENGI;SOCI;COMP,"Information Systems and Management;Software;Computer Networks and Communications;Safety Research;Hardware and Architecture;Safety, Risk, Reliability and Quality",0.359,0.169,22,51,12,0.0,1,86,1,0.0,5,44,5,0.0,1.5,1.8
International Journal of Data Analysis Techniques and Strategies,Inderscience,journal,DECI;MATH;COMP,Information Systems;Applied Mathematics;Information Systems and Management,0.324,0.158,15,185,7,6.67,22,215,13,0.0,15,195,11,0.0,1.5,1.2
International Journal of Data Mining and Bioinformatics,Inderscience Enterprises Ltd,journal,SOCI;BIOC;COMP,"Biochemistry, Genetics and Molecular Biology (all);Information Systems;Library and Information Sciences",0.095,0.173,20,336,13,0.0,7,270,5,0.0,22,198,21,0.0,0.4,1.0
"International Journal of Data Mining, Modelling and Management",Inderscience,journal,BUSI;MATH;COMP,Modeling and Simulation;Computer Science Applications;Management Information Systems,0.216,0.170,20,116,10,5.0,20,112,12,0.0,15,104,12,0.0,1.1,1.1
International Journal of Data Science and Analytics,Springer International Publishing,journal,MATH;COMP,Modeling and Simulation;Computational Theory and Mathematics;Computer Science Applications;Information Systems;Applied Mathematics,1.312,0.739,56,962,6,10.71,110,1294,31,6.36,225,1400,167,8.89,7.9,6.4
International Journal of Data Warehousing and Mining,IGI Publishing,journal,COMP,Software;Hardware and Architecture,0.518,0.251,20,411,5,0.0,39,396,18,0.0,12,342,12,0.0,2.0,2.4
International Journal of Data and Network Science,Growing Science,journal,SOCI;COMP,Artificial Intelligence;Software;Computer Networks and Communications;Communication;Computer Science Applications;Information Systems,1.155,0.418,155,638,8,0.65,200,2012,49,0.5,238,3124,115,0.0,8.0,5.8
International Journal of Decision Support System Technology,IGI Global Publishing,journal,MATH;COMP,Modeling and Simulation;Computer Science (all),0.445,0.251,52,177,17,7.69,12,204,6,0.0,5,156,5,0.0,2.7,2.2
International Journal of Design,National Taiwan University of Science and Technology,journal,ARTS;ENGI;SOCI;COMP,Arts and Humanities (miscellaneous);Social Sciences (all);Visual Arts and Performing Arts;Engineering (all);Computer Science Applications,1.262,0.876,20,1346,1,0.0,18,1360,9,0.0,11,1149,10,0.0,3.3,4.0
International Journal of Digital Crime and Forensics,IGI Global Publishing,journal,COMP,Software,0.454,0.283,8,243,1,0.0,10,262,5,0.0,5,177,5,0.0,3.0,2.7
International Journal of Digital Earth,Taylor and Francis Ltd.,journal,EART;COMP,Software;Computer Science Applications;Earth and Planetary Sciences (all),1.235,0.950,116,3365,4,4.31,229,3560,24,4.8,293,4201,170,3.41,5.6,6.5
International Journal of Distance Education Technologies,IGI Publishing,journal,SOCI;COMP,Education;Computer Science Applications;Computer Networks and Communications,1.392,0.751,5,529,1,20.0,7,502,2,0.0,8,365,7,0.0,10.7,9.1
International Journal of Distributed Sensor Networks,Sage-Hindawi,journal,ENGI;COMP,Computer Networks and Communications;Engineering (all),0.72,0.509,98,6348,9,9.18,22,5569,10,4.55,25,4223,19,8.0,6.5,6.5
International Journal of Distributed Systems and Technologies,IGI Publishing,journal,COMP,Computer Networks and Communications;Hardware and Architecture,0.163,0.176,45,165,27,2.22,15,182,4,0.0,9,160,8,0.0,2.2,1.6
International Journal of E-Health and Medical Communications,IGI Global Publishing,journal,MEDI;COMP,Computer Science Applications;Health Informatics,0.516,0.345,20,301,3,0.0,2,362,0,0.0,4,256,4,0.0,6.9,5.2
International Journal of E-Planning Research,IGI Global Publishing,journal,SOCI;COMP,"Computer Science Applications;Geography, Planning and Development;Urban Studies",0.769,0.646,8,250,3,0.0,10,202,5,0.0,3,179,3,0.0,7.7,6.0
International Journal of E-Services and Mobile Applications,IGI Global Publishing,journal,BUSI;COMP,Strategy and Management;Computer Networks and Communications;Computer Science Applications;Management Information Systems;Marketing,0.301,0.251,28,144,3,0.0,5,173,2,0.0,0,170,0,0.0,2.7,2.9
International Journal of Educational Technology in Higher Education,Springer Netherlands,journal,SOCI;COMP,Education;Computer Science Applications,4.019,2.578,64,3699,1,15.63,63,5313,3,9.52,58,7020,25,6.9,22.5,19.3
International Journal of Electrical and Computer Engineering,Institute of Advanced Engineering and Science (IAES),journal,ENGI;COMP,Electrical and Electronic Engineering;Computer Science (all),0.697,0.322,669,5931,103,1.79,671,6765,190,0.45,666,6558,560,3.45,3.7,4.1
International Journal of Electrical and Computer Engineering Systems,"J.J. Strossmayer University of Osijek , Faculty of Electrical Engineering, Computer Science and Information Technology",journal,ENGI;COMP,Computer Networks and Communications;Hardware and Architecture;Electrical and Electronic Engineering,0.273,0.206,99,102,31,5.05,116,248,46,6.03,63,356,48,0.0,1.9,1.2
International Journal of Electrical and Electronic Engineering and Telecommunications,Engineering and Technology Publishing,journal,PHYS;ENGI;COMP,Computer Networks and Communications;Instrumentation;Electrical and Electronic Engineering,0.554,0.249,51,426,9,0.0,50,1160,13,0.0,40,513,32,5.0,5.7,5.9
International Journal of Electronic Business,Inderscience,journal,BUSI;COMP,"Business, Management and Accounting (all);Computer Science Applications",0.208,0.177,25,146,5,4.0,20,140,9,0.0,17,184,16,0.0,2.2,1.9
International Journal of Electronic Commerce Studies,Academy of Taiwan Information Systems Research,journal,COMP,Computer Science Applications,0.34,0.228,24,174,6,16.67,28,186,14,0.0,7,219,6,0.0,1.4,1.4
International Journal of Electronic Finance,Inderscience,journal,ECON;BUSI;COMP,Computer Networks and Communications;Management of Technology and Innovation;Finance;Computer Science Applications,0.637,0.186,21,85,11,0.0,32,106,21,0.0,18,141,18,0.0,1.7,1.2
International Journal of Electronic Governance,Inderscience,journal,SOCI;COMP,Public Administration;Sociology and Political Science;Computer Science Applications,0.371,0.238,18,197,8,5.56,24,219,17,0.0,11,164,11,0.0,1.1,1.3
International Journal of Electronic Government Research,IGI Publishing,journal,SOCI;COMP,Social Sciences (all);Software;Hardware and Architecture;Computer Networks and Communications,0.554,0.294,41,424,11,4.88,14,483,5,0.0,7,491,7,0.0,4.0,2.6
International Journal of Electronic Security and Digital Forensics,Inderscience Enterprises Ltd,journal,ENGI;SOCI;COMP,"Computer Networks and Communications;Law;Safety, Risk, Reliability and Quality",0.269,0.189,36,230,15,2.78,45,217,23,0.0,50,211,43,0.0,1.5,1.8
International Journal of Electronics Letters,Taylor and Francis Ltd.,journal,PHYS;ENGI;MATE;COMP,"Electronic, Optical and Magnetic Materials;Instrumentation;Computer Networks and Communications;Electrical and Electronic Engineering",0.536,0.239,40,223,18,0.0,43,274,16,0.0,45,248,33,2.22,1.7,1.8
International Journal of Electronics and Telecommunications,"Polish Academy of Sciences, Committee of Electronics and Telecommunications",journal,ENGI;COMP,Computer Networks and Communications;Electrical and Electronic Engineering,0.364,0.200,104,486,52,3.85,109,537,74,0.0,68,491,60,0.0,1.5,1.5
International Journal of Embedded Systems,Inderscience Enterprises Ltd,journal,COMP,Software;Hardware and Architecture,0.315,0.268,43,304,8,0.0,45,372,37,0.0,2,292,2,0.0,2.2,2.5
International Journal of Embedded and Real-Time Communication Systems,IGI Global Publishing,journal,COMP,Computer Science (all),0.197,0.188,16,87,7,0.0,1,73,1,0.0,0,57,0,0.0,1.6,1.7
International Journal of Enterprise Information Systems,IGI Publishing,journal,BUSI;DECI;COMP,Computer Science Applications;Management Information Systems;Information Systems and Management,0.917,0.500,2,396,1,50.0,4,399,2,0.0,0,380,0,0.0,4.8,4.9
International Journal of Foundations of Computer Science,World Scientific Publishing Co. Pte Ltd,journal,COMP,Computer Science (miscellaneous),0.769,0.373,57,758,22,0.0,75,758,57,0.0,62,697,56,1.61,1.7,1.6
International Journal of Fuzzy Logic and Intelligent Systems,Korean Institute of Intelligent Systems,journal,MATH;COMP,Signal Processing;Artificial Intelligence;Logic;Computational Theory and Mathematics;Computer Science Applications,0.741,0.312,40,341,12,0.0,40,414,20,2.5,29,312,26,0.0,2.9,2.8
International Journal of Fuzzy System Applications,IGI Publishing,journal,COMP,Computer Science (all),0.47,0.293,63,277,25,0.0,14,390,9,0.0,11,292,11,0.0,2.5,2.4
International Journal of Fuzzy Systems,Springer International Publishing AG,journal,ENGI;MATH;COMP,Artificial Intelligence;Software;Computational Theory and Mathematics;Theoretical Computer Science;Control and Systems Engineering;Information Systems,1.047,0.817,234,4500,15,0.0,205,5024,31,0.0,262,4287,192,0.0,7.4,7.8
International Journal of Gaming and Computer-Mediated Simulations,IGI Global Publishing,journal,COMP,Computer Science Applications,0.366,0.277,11,293,2,0.0,8,298,4,0.0,10,320,9,0.0,3.7,2.8
International Journal of General Systems,Taylor and Francis Ltd.,journal,ENGI;MATH;COMP,Modeling and Simulation;Computer Science Applications;Theoretical Computer Science;Control and Systems Engineering;Information Systems,1.041,0.528,34,1914,6,0.0,43,1879,13,2.33,71,1501,47,0.0,4.3,4.1
International Journal of Geographical Information Science,Taylor and Francis Ltd.,journal,SOCI;COMP,"Information Systems;Geography, Planning and Development;Library and Information Sciences",1.831,1.436,104,10451,1,3.85,98,9884,12,1.02,131,9024,89,3.05,10.5,11.0
International Journal of Geospatial and Environmental Research,Korea-America Association for Geospatial and Environmental Sciences,journal,EART;SOCI;ENVI;COMP,"Environmental Science (miscellaneous);Information Systems;Geography, Planning and Development;Earth and Planetary Sciences (miscellaneous)",0.213,0.145,4,18,1,0.0,1,18,0,0.0,2,23,2,0.0,1.1,1.5
International Journal of Grid and High Performance Computing,IGI Global Publishing,journal,COMP,Computer Networks and Communications,0.269,0.191,28,171,11,0.0,12,137,8,0.0,4,157,3,0.0,2.4,1.7
International Journal of Grid and Utility Computing,Inderscience Enterprises Ltd,journal,BUSI;MATH;COMP,Computer Science Applications;Management Information Systems;Applied Mathematics,0.291,0.202,59,272,21,1.69,53,262,29,0.0,41,264,41,0.0,1.3,1.3
International Journal of Health Geographics,BioMed Central Ltd,journal,BUSI;MEDI;COMP,"Business, Management and Accounting (all);Public Health, Environmental and Occupational Health;Computer Science (all)",1.296,1.109,22,3680,2,4.55,38,3282,6,2.63,21,2896,14,4.76,5.8,10.2
International Journal of Healthcare Information Systems and Informatics,IGI Global Publishing,journal,DECI;MEDI;COMP,Information Systems;Medicine (miscellaneous);Information Systems and Management,0.491,0.268,8,282,3,25.0,20,331,15,0.0,10,313,9,0.0,3.6,3.3
International Journal of High Performance Computing Applications,SAGE Publications Inc.,journal,MATH;COMP,Theoretical Computer Science;Software;Hardware and Architecture,1.324,0.733,37,1578,4,0.0,43,1581,14,0.0,48,1122,44,0.0,6.9,6.1
International Journal of High Performance Systems Architecture,Inderscience Enterprises Ltd,journal,COMP,Hardware and Architecture,0.453,0.260,10,91,5,0.0,12,111,7,0.0,0,82,0,0.0,2.0,2.0
International Journal of High Speed Electronics and Systems,World Scientific Publishing Co. Pte Ltd,journal,ENGI;MATE;COMP,"Electronic, Optical and Magnetic Materials;Hardware and Architecture;Electrical and Electronic Engineering",0.517,0.185,21,179,18,4.76,29,197,21,3.45,161,143,158,0.0,0.6,0.6
International Journal of Human Capital and Information Technology Professionals,IGI Publishing,journal,BUSI;COMP,Management of Technology and Innovation;Computer Science (miscellaneous),0.833,0.313,27,186,8,0.0,1,214,1,0.0,2,204,1,0.0,3.1,4.1
International Journal of Human Computer Studies,Academic Press,journal,ENGI;SOCI;COMP,Education;Human Factors and Ergonomics;Engineering (all);Software;Human-Computer Interaction;Hardware and Architecture,2.42,1.435,93,11646,1,0.0,124,12629,6,0.0,130,11632,73,0.0,10.7,11.5
International Journal of Human-Computer Interaction,Taylor and Francis Ltd.,journal,SOCI;COMP,Human-Computer Interaction;Human Factors and Ergonomics;Computer Science Applications,2.147,1.025,142,6262,11,0.7,426,8578,85,0.0,979,10312,522,0.0,8.1,9.0
International Journal of Humanities and Arts Computing,Edinburgh University Press,journal,ARTS;COMP,Human-Computer Interaction;Arts and Humanities (all);Computer Science (all),0.385,0.164,17,139,9,0.0,14,134,11,0.0,11,130,10,0.0,1.0,1.1
International Journal of Humanoid Robotics,World Scientific Publishing Co. Pte Ltd,journal,ENGI;COMP,Mechanical Engineering;Artificial Intelligence,0.514,0.376,21,875,5,0.0,28,857,7,0.0,28,761,21,0.0,3.9,3.5
International Journal of Image and Data Fusion,Taylor and Francis Ltd.,journal,EART;COMP,Earth and Planetary Sciences (all);Computer Science Applications,0.948,0.473,18,600,1,0.0,18,534,2,0.0,32,497,24,12.5,3.9,5.0
International Journal of Image and Graphics,World Scientific,journal,COMP,Computer Science Applications;Computer Graphics and Computer-Aided Design;Computer Vision and Pattern Recognition,0.556,0.247,66,368,15,0.0,131,543,50,0.0,117,520,73,0.0,2.8,2.4
"International Journal of Image, Graphics and Signal Processing",Modern Education and Computer Science Press,journal,COMP,Signal Processing;Computer Graphics and Computer-Aided Design;Computer Vision and Pattern Recognition,0.576,0.316,38,217,4,2.63,42,295,17,0.0,40,298,38,0.0,2.6,2.4
International Journal of Imaging Systems and Technology,John Wiley and Sons Inc,journal,ENGI;MEDI;COMP,"Computer Vision and Pattern Recognition;Radiology, Nuclear Medicine and Imaging;Biomedical Engineering;Computer Science Applications;Health Informatics",0.989,0.706,157,2404,15,0.0,148,3058,33,0.0,255,2817,182,0.0,6.1,6.9
International Journal of Information Management,Elsevier Ltd,journal,BUSI;DECI;SOCI;COMP,Library and Information Sciences;Artificial Intelligence;Information Systems and Management;Computer Networks and Communications;Information Systems;Management Information Systems;Marketing,5.825,5.775,83,23767,2,10.84,93,28770,1,2.15,86,29392,22,3.49,48.7,53.1
International Journal of Information Management Data Insights,Elsevier B.V.,journal,DECI;BUSI;SOCI;ENGI;COMP,Library and Information Sciences;Artificial Intelligence;Industrial and Manufacturing Engineering;Information Systems and Management;Information Systems;Management Information Systems,3.295,2.137,85,823,0,9.41,65,2128,3,12.31,91,2846,56,5.49,23.2,19.2
International Journal of Information Security,Springer Verlag,journal,ENGI;COMP,"Computer Networks and Communications;Software;Information Systems;Safety, Risk, Reliability and Quality",1.339,0.878,77,1408,7,0.0,110,1691,14,0.0,178,1840,96,0.0,5.1,6.3
International Journal of Information Security and Privacy,IGI Global Publishing,journal,COMP,Information Systems,0.329,0.207,80,301,31,0.0,11,398,3,0.0,15,296,14,0.0,2.8,2.5
International Journal of Information System Modeling and Design,IGI Publishing,journal,BUSI;COMP,Management of Technology and Innovation;Information Systems,0.4,0.224,22,202,8,0.0,7,193,2,0.0,8,151,8,0.0,3.6,3.2
International Journal of Information Systems and Supply Chain Management,IGI Global Publishing,journal,BUSI;COMP,Information Systems;Management Information Systems,0.318,0.209,34,222,9,2.94,12,274,5,0.0,24,300,21,0.0,2.3,1.9
International Journal of Information Systems in the Service Sector,IGI Global Publishing,journal,BUSI;DECI;COMP,Strategy and Management;Information Systems and Management;Management Science and Operations Research;Information Systems;Management Information Systems,0.198,0.148,45,148,14,0.0,2,166,1,0.0,1,148,1,0.0,2.2,1.9
International Journal of Information Technology (Singapore),Springer Science + Business Media,journal,ENGI;MATH;COMP,Artificial Intelligence;Computer Networks and Communications;Computational Theory and Mathematics;Electrical and Electronic Engineering;Computer Science Applications;Information Systems;Applied Mathematics,1.348,0.705,360,1973,40,0.0,426,3826,89,0.0,709,4645,502,0.0,7.2,6.0
International Journal of Information Technology and Decision Making,World Scientific Publishing Co. Pte Ltd,journal,COMP,Computer Science (miscellaneous),1.02,0.723,71,1937,12,4.23,97,2175,28,3.09,82,1732,45,4.88,6.2,7.4
International Journal of Information Technology and Management,Inderscience Enterprises Ltd,journal,COMP,Computer Networks and Communications;Software;Computer Science Applications;Hardware and Architecture,0.178,0.155,24,167,14,0.0,23,148,14,0.0,23,146,21,0.0,0.6,1.1
International Journal of Information Technology and Web Engineering,IGI Publishing,journal,COMP,Computer Science (all),0.328,0.238,27,194,9,0.0,27,219,15,0.0,11,177,7,0.0,2.8,2.6
International Journal of Information and Communication Technology,Inderscience Enterprises Ltd,journal,COMP,Computer Networks and Communications;Software;Computer Science Applications;Information Systems,0.149,0.146,60,190,34,0.0,60,193,38,0.0,92,173,83,0.0,0.7,0.7
International Journal of Information and Communication Technology Education,IGI Publishing,journal,SOCI;COMP,Education;Computer Science Applications,0.796,0.368,8,442,1,0.0,23,470,9,0.0,46,433,39,0.0,3.8,4.2
International Journal of Information and Computer Security,Inderscience Enterprises Ltd,journal,ENGI;COMP,"Computer Networks and Communications;Software;Hardware and Architecture;Safety, Risk, Reliability and Quality",0.36,0.220,64,236,29,0.0,60,287,35,0.0,32,248,29,0.0,1.5,1.4
International Journal of Information and Decision Sciences,Inderscience,journal,BUSI;DECI;COMP,Management of Technology and Innovation;Computer Science Applications;Strategy and Management;Information Systems and Management,0.441,0.259,21,200,12,0.0,20,250,15,0.0,15,215,14,0.0,0.8,1.9
International Journal of Information and Education Technology,International Journal of Information and Education Technology,journal,SOCI;COMP,Education;Computer Science Applications,0.668,0.297,194,627,29,1.03,244,1212,102,3.28,149,1210,111,2.68,2.9,2.8
International Journal of Information and Learning Technology,Emerald Group Publishing Ltd.,journal,SOCI;COMP,Education;Computer Science Applications;Computer Networks and Communications,1.337,0.721,31,1101,7,3.23,39,1302,6,0.0,33,1232,21,3.03,5.9,6.1
International Journal of Innovative Computing and Applications,Inderscience Enterprises Ltd,journal,MATH;COMP,Theoretical Computer Science;Software;Hardware and Architecture,0.237,0.185,34,166,18,0.0,20,158,12,0.0,0,130,0,0.0,1.8,1.4
"International Journal of Innovative Computing, Information and Control",IJICIC Editorial Office,journal,MATH;COMP,Theoretical Computer Science;Software;Information Systems;Computational Theory and Mathematics,0.723,0.473,134,1867,32,0.0,129,1722,75,0.0,92,1304,83,0.0,2.6,3.2
International Journal of Intelligent Computing and Cybernetics,Emerald Group Publishing Ltd.,journal,COMP,Computer Science (all),0.752,0.562,36,717,3,0.0,36,634,9,11.11,36,533,25,2.78,5.3,6.8
International Journal of Intelligent Engineering and Systems,Intelligent Networks and Systems Society,journal,ENGI;COMP,Engineering (all);Computer Science (all),0.535,0.313,331,1837,87,0.0,359,2389,184,0.0,356,2148,297,0.0,2.9,3.2
International Journal of Intelligent Information Technologies,IGI Publishing,journal,DECI;COMP,Information Systems;Decision Sciences (miscellaneous),0.364,0.234,24,190,7,4.17,14,191,5,0.0,13,178,9,0.0,2.0,2.5
International Journal of Intelligent Information and Database Systems,Inderscience Enterprises Ltd,journal,COMP,Information Systems,0.258,0.186,20,132,7,0.0,9,168,5,0.0,10,91,9,0.0,2.2,2.9
International Journal of Intelligent Networks,KeAi Communications Co.,journal,ENGI;COMP,Computer Networks and Communications;Signal Processing;Artificial Intelligence;Electrical and Electronic Engineering,1.852,1.001,23,367,0,8.7,39,796,7,7.69,35,1110,20,0.0,15.6,12.0
International Journal of Intelligent Robotics and Applications,Springer Singapore,journal,COMP,Computer Science Applications;Artificial Intelligence,0.736,0.592,52,520,4,0.0,50,704,12,0.0,89,694,76,7.87,4.5,3.8
International Journal of Intelligent Systems,Wiley-Hindawi,journal,MATH;COMP,Human-Computer Interaction;Software;Artificial Intelligence;Theoretical Computer Science,1.4,1.264,489,9211,38,0.0,181,11389,48,4.42,93,9027,61,4.3,13.1,11.3
International Journal of Intelligent Systems Technologies and Applications,Inderscience,journal,COMP,Computer Science (all),0.243,0.181,10,231,3,10.0,20,215,12,0.0,15,169,14,0.0,1.0,1.3
International Journal of Intelligent Transportation Systems Research,Springer,journal,ENGI;SOCI;COMP,Transportation;Computer Science Applications;Automotive Engineering;Human-Computer Interaction;Control and Systems Engineering;Information Systems,0.858,0.402,64,481,12,0.0,38,562,17,0.0,56,536,50,0.0,3.0,3.8
International Journal of Interactive Mobile Technologies,International Federation of Engineering Education Societies (IFEES),journal,COMP,Computer Networks and Communications;Computer Science Applications,0.883,0.397,296,2157,41,0.34,255,3093,93,0.78,215,2684,177,0.47,4.9,5.2
International Journal of Interactive Multimedia and Artificial Intelligence,Universidad Internacional de la Rioja,journal,MATH;COMP,Signal Processing;Artificial Intelligence;Computer Vision and Pattern Recognition;Computer Networks and Communications;Computer Science Applications;Statistics and Probability,1.264,0.904,70,646,10,0.0,64,913,17,0.0,33,838,16,3.03,6.5,7.2
International Journal of Internet Manufacturing and Services,Inderscience Enterprises Ltd,journal,DECI;ENGI;COMP,Computer Networks and Communications;Industrial and Manufacturing Engineering;Information Systems and Management,0.274,0.167,15,57,10,0.0,27,65,20,0.0,16,62,16,0.0,0.3,0.7
International Journal of Internet Protocol Technology,Inderscience Enterprises Ltd,journal,COMP,Computer Networks and Communications,0.268,0.158,23,140,10,0.0,21,116,15,0.0,0,84,0,0.0,1.2,1.1
International Journal of Internet Technology and Secured Transactions,Inderscience,journal,COMP,Computer Networks and Communications;Computer Science Applications,0.276,0.192,38,178,15,5.26,6,236,2,0.0,4,174,4,0.0,2.0,2.5
International Journal of Knowledge Management,IGI Publishing,journal,BUSI;COMP,Management of Technology and Innovation;Computer Science Applications;Management Information Systems,0.603,0.370,10,400,2,10.0,3,378,0,0.0,15,330,12,0.0,4.2,4.7
International Journal of Knowledge Management Studies,Inderscience Enterprises Ltd,journal,BUSI;DECI;COMP,Management of Technology and Innovation;Computer Science Applications;Management Information Systems;Information Systems and Management,0.436,0.246,25,196,7,4.0,15,215,9,0.0,10,215,9,0.0,2.0,1.9
International Journal of Knowledge and Systems Science,IGI Global Publishing,journal,BUSI;DECI;COMP,Management of Technology and Innovation;Strategy and Management;Artificial Intelligence;Information Systems and Management;Organizational Behavior and Human Resource Management;Information Systems,0.45,0.317,13,111,5,0.0,13,113,8,7.69,4,90,2,0.0,2.5,3.0
International Journal of Knowledge-Based and Intelligent Engineering Systems,IOS Press BV,journal,DECI;ENGI;MATH;COMP,"Artificial Intelligence;Software;Statistics, Probability and Uncertainty;Control and Systems Engineering;Statistics and Probability",0.544,0.267,18,318,3,0.0,37,369,13,0.0,27,299,21,0.0,2.4,2.1
International Journal of Machine Learning and Cybernetics,Springer Science + Business Media,journal,COMP,Software;Artificial Intelligence;Computer Vision and Pattern Recognition,1.217,0.988,246,5354,22,0.0,273,6067,49,0.0,521,5408,382,0.0,6.2,7.9
International Journal of Manufacturing Research,Inderscience Enterprises Ltd,journal,ENGI;MATH;COMP,Modeling and Simulation;Control and Systems Engineering;Computer Science Applications;Industrial and Manufacturing Engineering,0.18,0.186,15,224,5,0.0,21,240,8,4.76,10,222,8,0.0,0.9,0.9
International Journal of Manufacturing Technology and Management,Inderscience Enterprises Ltd,journal,BUSI;ENGI;DECI;COMP,Strategy and Management;Industrial and Manufacturing Engineering;Information Systems and Management;Electrical and Electronic Engineering;Computer Science Applications,0.297,0.145,26,442,15,0.0,37,445,27,0.0,23,373,22,0.0,0.6,0.7
"International Journal of Mathematical, Engineering and Management Sciences",Ram Arti Publishers,journal,BUSI;ENGI;MATH;COMP,"Mathematics (all);Engineering (all);Business, Management and Accounting (all);Computer Science (all)",0.701,0.374,61,713,14,0.0,70,813,29,1.43,80,839,66,2.5,2.8,3.8
