title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,citeScoreTracker_2024,citeScoreCurrentMetric_2023
AIUB Journal of Science and Engineering,AIUB Office of Research and Publication,journal,ENGI;MATH;COMP,Mathematics (miscellaneous);Engineering (all);Computer Science (all),0.188,0.166,21,32,15,0.0,30,90,16,0.0,20,60,19,0.0,1.2,1.0
APL Photonics,American Institute of Physics,journal,PHYS;COMP,"Computer Networks and Communications;Atomic and Molecular Physics, and Optics",1.728,1.880,117,4295,9,1.71,192,4782,20,1.56,213,4684,128,1.41,8.0,10.3
APSIPA Transactions on Signal and Information Processing,Oxford University Press,journal,COMP,Signal Processing;Information Systems,1.625,1.041,36,647,6,8.33,48,856,28,18.75,46,779,40,8.7,4.6,8.6
ASEAN Engineering Journal,Penerbit UTM Press,journal,CENG;ENVI;ENER;ENGI;EART;COMP,Energy Engineering and Power Technology;Engineering (all);Computer Science Applications;Environmental Engineering;Geotechnical Engineering and Engineering Geology;Chemical Engineering (all),0.262,0.158,95,75,49,2.11,80,111,53,0.0,75,146,67,0.0,0.8,0.6
AVS Quantum Science,American Institute of Physics,journal,PHYS;MATE;CHEM;ENGI;COMP,"Atomic and Molecular Physics, and Optics;Condensed Matter Physics;Physical and Theoretical Chemistry;Electronic, Optical and Magnetic Materials;Computer Networks and Communications;Computational Theory and Mathematics;Electrical and Electronic Engineering",2.125,2.534,72,617,11,15.28,62,887,26,1.61,47,822,31,4.26,6.8,9.9
Acta Acustica,"European Acoustics Association, EAA",journal,PHYS;HEAL;ARTS;ENGI;COMP,Acoustics and Ultrasonics;Music;Electrical and Electronic Engineering;Computer Science Applications;Speech and Hearing,0.782,0.341,61,2304,11,4.92,67,2226,34,4.48,20,1593,16,0.0,3.2,2.8
Acta Cybernetica,"University of Szeged, Institute of Informatics",journal,DECI;ENGI;MATH;COMP,Computer Science (miscellaneous);Information Systems and Management;Software;Management Science and Operations Research;Computer Vision and Pattern Recognition;Electrical and Electronic Engineering;Theoretical Computer Science,0.438,0.161,10,159,5,0.0,13,154,10,0.0,18,123,16,0.0,1.0,1.1
Acta Informatica,Springer New York,journal,COMP,Computer Networks and Communications;Software;Information Systems,1.118,0.407,28,1050,15,0.0,17,1070,7,5.88,21,845,18,0.0,1.9,2.4
Acta Informatica Pragensia,Prague University of Economics and Business,journal,BUSI;SOCI;COMP,Computer Science Applications;Information Systems;Management Information Systems;Library and Information Sciences,0.332,0.202,27,50,9,11.11,27,90,9,18.52,25,126,18,16.0,2.2,1.7
Acta Scientiarum - Technology,Universidade Estadual de Maringa,journal,MATH;PHYS;CHEM;ENGI;EART;COMP,Earth and Planetary Sciences (all);Engineering (all);Physics and Astronomy (all);Mathematics (all);Computer Science (all);Chemistry (all),0.215,0.174,70,687,29,0.0,57,624,38,0.0,39,576,35,0.0,1.2,1.4
Ad Hoc Networks,Elsevier B.V.,journal,COMP,Computer Networks and Communications;Software;Hardware and Architecture,1.431,1.342,119,8392,7,0.0,205,8411,15,0.0,239,7198,121,0.0,8.4,10.2
