title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
Agris On-line Papers in Economics and Informatics,Faculty of Economics and Management,journal,ECON;ENVI;SOCI;AGRI;COMP,"Geography, Planning and Development;Computer Science (miscellaneous);Management, Monitoring, Policy and Law;Agricultural and Biological Sciences (miscellaneous);Economics, Econometrics and Finance (miscellaneous)",0.326,0.232,1.9,2.2,40,481,10,0.0,40,495,21,0.0,30,353,26,0.0
Agroalimentaria,Centro de Investigaciones Agroalimentarias (CIAAL),journal,ECON;AGRI;SOCI,"Social Sciences (all);Economics, Econometrics and Finance (all);Food Science",0.048,0.109,0.3,0.4,24,50,20,0.0,19,43,18,0.0,6,40,6,0.0
Agua y Territorio,Universidad de Jaen Campus Las Lagunillas,journal,ECON;ARTS;SOCI,"History;Economics, Econometrics and Finance (miscellaneous);Arts and Humanities (miscellaneous);Geography, Planning and Development",1.046,0.250,0.7,0.5,14,19,8,0.0,35,29,24,2.86,16,29,15,0.0
Algorithmic Finance,IOS Press BV,journal,ECON;MATH;COMP,Finance;Computer Science Applications;Computational Mathematics;Computer Vision and Pattern Recognition,0,0.102,0.5,0.4,5,64,4,0.0,4,66,3,0.0,0,62,0,0.0
America Latina en la Historia Economica,Instituto de Investigaciones Dr. Jose Maria Luis Mora,journal,ECON;ARTS,"History;Economics, Econometrics and Finance (all)",0.598,0.146,0.3,0.3,26,93,19,0.0,26,105,23,0.0,27,59,27,0.0
American Economic Journal: Applied Economics,American Economic Association,journal,ECON,"Economics, Econometrics and Finance (all)",3.854,8.933,8.6,9.1,59,6096,5,0.0,54,6723,0,0.0,32,6811,11,0.0
American Economic Journal: Economic Policy,American Economic Association,journal,ECON,"Economics, Econometrics and Finance (all)",3.631,6.519,9.5,8.2,65,4470,3,0.0,64,5205,8,0.0,32,5518,12,0.0
American Economic Journal: Macroeconomics,American Economic Association,journal,ECON,"Economics, Econometrics and Finance (all)",3.861,12.324,10.3,8.2,54,3496,6,0.0,55,4202,7,0.0,24,4477,9,0.0
American Economic Journal: Microeconomics,American Economic Association,journal,ECON,"Economics, Econometrics and Finance (all)",1.591,3.835,3.8,2.9,82,1595,13,0.0,65,1801,19,0.0,21,1798,11,0.0
American Economic Review,American Economic Association,journal,ECON,Economics and Econometrics,7.493,22.344,17.6,18.6,118,62439,4,2.54,96,66494,16,3.13,61,64968,21,0.0
American Journal of Agricultural Economics,John Wiley & Sons Inc.,journal,ECON;AGRI,Agricultural and Biological Sciences (miscellaneous);Economics and Econometrics,2.005,2.136,10.8,9.1,78,10987,3,0.0,65,10479,5,0.0,98,9129,49,0.0
American Journal of Economics and Sociology,Wiley-Blackwell Publishing Ltd,journal,ECON;SOCI,Sociology and Political Science;Economics and Econometrics,0.698,0.253,1.9,1.9,47,1226,19,0.0,34,1505,20,0.0,69,1342,52,0.0
American Journal of Health Economics,University of Chicago Press,journal,ECON;MEDI,"Economics, Econometrics and Finance (miscellaneous);Health Policy;Public Health, Environmental and Occupational Health",1.17,1.978,5.1,4.3,20,342,3,0.0,23,403,10,0.0,17,428,12,0.0
American Law and Economics Review,Oxford University Press,journal,ECON;SOCI,Law;Finance,0.7,0.274,2.0,1.6,17,399,8,0.0,9,399,8,0.0,0,355,0,0.0
Amfiteatru Economic,Bucharest University of Economic Studies Publishing House,journal,ECON,"Economics, Econometrics and Finance (all)",0.545,0.408,4.0,4.2,60,1013,5,0.0,65,1156,24,1.54,32,950,23,0.0
Annals of Actuarial Science,Cambridge University Press,journal,ECON;DECI;MATH,"Statistics, Probability and Uncertainty;Statistics and Probability;Economics and Econometrics",0.939,0.730,3.7,3.1,28,248,9,3.57,29,240,14,0.0,28,277,21,3.57
Annals of Corporate Governance,Now Publishers Inc,journal,ECON;BUSI;SOCI,"Law;Finance;Business, Management and Accounting (miscellaneous)",0.327,0.248,2.0,1.9,3,12,0,33.33,2,15,1,0.0,2,27,2,50.0
Annals of Economics and Finance,Central University of Finance and Economics,journal,ECON,Finance;Economics and Econometrics,0.54,0.160,0.4,0.7,16,419,8,0.0,18,427,16,0.0,24,367,23,0.0
Annals of Economics and Statistics,Groupe des ecoles nationales d'economie et statistique,journal,ECON;DECI;MATH;SOCI,"Statistics, Probability and Uncertainty;Social Sciences (miscellaneous);Statistics and Probability;Economics and Econometrics",0.297,0.576,0.9,0.8,17,40,9,0.0,16,60,12,0.0,11,87,11,0.0
Annals of Finance,Springer Verlag,journal,ECON,"Finance;Economics, Econometrics and Finance (all)",0.868,0.442,1.4,2.0,20,328,7,0.0,20,358,10,0.0,21,324,20,0.0
Annals of Financial Economics,World Scientific,journal,ECON;BUSI,"Economics and Econometrics;Finance;Business, Management and Accounting (miscellaneous);Economics, Econometrics and Finance (miscellaneous);Business and International Management",0.995,0.580,10.5,6.6,24,257,3,0.0,29,414,7,3.45,9,381,8,0.0
Annals of Public and Cooperative Economics,Wiley-Blackwell,journal,ECON;SOCI,Sociology and Political Science;Economics and Econometrics,1.248,0.595,4.1,3.8,45,1122,3,0.0,51,1320,10,0.0,50,1206,24,0.0
Annals of the Fondazione Luigi Einaudi,Casa Editrice Leo S. Olschki,journal,ECON;ARTS;SOCI,"History;Social Sciences (miscellaneous);Sociology and Political Science;Economics, Econometrics and Finance (all)",0.455,0.118,0.4,0.4,30,36,27,0.0,0,44,0,0.0,0,43,0,0.0
Annual Review of Economics,Annual Reviews Inc.,journal,ECON,Economics and Econometrics,4.037,8.925,10.8,9.7,33,3426,0,100.0,28,4019,3,100.0,23,4439,15,95.65
Annual Review of Financial Economics,Annual Reviews Inc.,journal,ECON,Finance;Economics and Econometrics,2.246,4.854,9.6,5.0,25,1250,2,96.0,32,1559,16,84.38,0,1833,0,0.0
Annual Review of Resource Economics,Annual Reviews Inc.,journal,ECON,Economics and Econometrics,1.733,2.032,9.9,9.4,32,1740,0,68.75,24,1928,2,87.5,0,2090,0,0.0
Antitrust Bulletin,SAGE Publications Inc.,journal,ECON;SOCI,Law;Economics and Econometrics,0.812,0.353,1.7,1.3,34,334,14,0.0,34,403,23,0.0,4,291,4,0.0
Applied Computer Science,Polish Association for Knowledge Promotion,journal,ECON;ENGI;COMP,"Artificial Intelligence;Industrial and Manufacturing Engineering;Mechanical Engineering;Computer Science Applications;Economics, Econometrics and Finance (miscellaneous);Biomedical Engineering;Control and Systems Engineering;Information Systems",0.321,0.148,2.1,1.5,32,87,13,0.0,39,90,19,0.0,14,169,12,0.0
Applied Econometrics,Russian Presidential Academy of National Economy and Public Administration,journal,ECON;SOCI,"Economics, Econometrics and Finance (miscellaneous);Economics, Econometrics and Finance (all);Social Sciences (miscellaneous);Economics and Econometrics",0.477,0.174,0.7,0.7,26,169,14,0.0,28,159,23,0.0,18,161,14,0.0
Applied Econometrics and International Development,Euro-American Association of Economic Development Studies,journal,ECON;SOCI,Political Science and International Relations;Finance;Economics and Econometrics;Development,0.358,0.196,0.9,1.2,12,170,4,0.0,14,166,8,0.0,22,156,21,4.55
Applied Economic Analysis,Emerald Group Publishing Ltd.,journal,ECON,"Economics, Econometrics and Finance (all)",0.892,0.492,3.0,3.5,14,161,0,0.0,13,236,7,7.69,17,245,10,0.0
Applied Economic Perspectives and Policy,John Wiley & Sons Inc.,journal,ECON;SOCI,Economics and Econometrics;Development,1.885,1.796,11.1,10.7,115,2762,20,0.0,110,3205,21,0.0,95,2969,60,0.0
Applied Economics,Taylor and Francis Ltd.,journal,ECON,Economics and Econometrics,0.9,0.590,4.0,3.8,421,14014,73,0.0,523,14873,194,0.0,1008,14937,673,0.0
Applied Economics Letters,Routledge,journal,ECON,Economics and Econometrics,0.676,0.376,3.0,2.9,336,6011,88,0.0,665,6661,303,0.0,880,6644,660,0.0
Applied Economics Quarterly,Duncker und Humblot GmbH,journal,ECON,"Economics, Econometrics and Finance (all)",0.337,0.151,0.7,0.5,9,22,8,0.0,0,39,0,0.0,0,33,0,0.0
